wind_code,code5,name,list_date,delist_date,is_active,hsc_flag
0013.HK,00013,和黄医药,2021-06-30,,True,False
0020.HK,00020,商汤,2021-12-30,,True,False
0136.HK,00136,中国儒意,1997-09-25,,True,False
0148.HK,00148,建滔集团,1993-10-08,,True,False
0179.HK,00179,德昌电机,1984-07-11,,True,False
0241.HK,00241,阿里健康,1972-07-06,,True,False
0268.HK,00268,金蝶国际,2005-07-20,,True,False
0285.HK,00285,比亚迪电子,2007-12-20,,True,False
0303.HK,00303,VTECH,1992-11-05,,True,False
0354.HK,00354,中软国际,2003-06-20,,True,False
0460.HK,00460,四环医药,2010-10-28,,True,False
0512.HK,00512,远大医药,1995-12-19,,True,False
0522.HK,00522,ASMPT,1989-01-03,,True,False
0552.HK,00552,中通服,2006-12-08,,True,False
0696.HK,00696,中国民航信息网络,2001-02-07,,True,False
0700.HK,00700,腾讯,2004-06-16,,True,False
0763.HK,00763,中兴通讯,2004-12-09,,True,False
0772.HK,00772,阅文集团,2017-11-08,,True,False
0780.HK,00780,同程旅行,2018-11-26,,True,False
0853.HK,00853,微创医疗,2010-09-24,,True,False
0867.HK,00867,康哲药业,2010-09-28,,True,False
0917.HK,00917,趣致集团,2024-05-27,,True,False
0981.HK,00981,中芯国际,2004-03-18,,True,False
0992.HK,00992,联想集团,1994-02-14,,True,False
1024.HK,01024,快手,2021-02-05,,True,False
1066.HK,01066,威高股份,2004-02-27,,True,False
1093.HK,01093,石药集团,1994-06-21,,True,False
1177.HK,01177,中生制药,2003-12-08,,True,False
1211.HK,01211,比亚迪,2002-07-31,,True,False
1316.HK,01316,耐世特,2013-10-07,,True,False
1347.HK,01347,华虹半导体,2014-10-15,,True,False
1357.HK,01357,美图,2016-12-15,,True,False
1415.HK,01415,高伟电子,2015-03-31,,True,False
1513.HK,01513,丽珠医药,2014-01-16,,True,False
1530.HK,01530,三生制药,2015-06-11,,True,False
1548.HK,01548,金斯瑞生物科技,2015-12-30,,True,False
1585.HK,01585,雅迪控股,2016-05-19,,True,False
1686.HK,01686,新意网,2000-03-17,,True,False
1772.HK,01772,赣锋锂业,2018-10-11,,True,False
1797.HK,01797,东方甄选,2019-03-28,,True,False
1801.HK,01801,信达生物,2018-10-31,,True,False
1810.HK,01810,小米集团,2018-07-09,,True,False
1833.HK,01833,平安好医生,2018-05-04,,True,False
1860.HK,01860,汇量科技,2018-12-12,,True,False
1888.HK,01888,建滔积层板,2006-12-07,,True,False
1896.HK,01896,猫眼娱乐,2019-02-04,,True,False
1952.HK,01952,云顶新耀,2020-10-09,,True,False
2015.HK,02015,理想汽车,2021-08-12,,True,False
2018.HK,02018,瑞声科技,2005-08-09,,True,False
2096.HK,02096,先声药业,2020-10-27,,True,False
2162.HK,02162,康诺亚,2021-07-08,,True,False
2186.HK,02186,绿叶制药,2014-07-09,,True,False
2196.HK,02196,复星医药,2012-10-30,,True,False
2228.HK,02228,晶泰控股,2024-06-13,,True,False
2252.HK,02252,微创机器人,2021-11-02,,True,False
2268.HK,02268,药明合联,2023-11-17,,True,False
2269.HK,02269,药明生物,2017-06-13,,True,False
2357.HK,02357,中航科工,2003-10-30,,True,False
2359.HK,02359,药明康德,2018-12-13,,True,False
2367.HK,02367,巨子生物,2022-11-04,,True,False
2382.HK,02382,舜宇光学,2007-06-15,,True,False
2400.HK,02400,心动公司,2019-12-12,,True,False
2432.HK,02432,越疆,2024-12-23,,True,False
2498.HK,02498,速腾聚创,2024-01-05,,True,False
2533.HK,02533,黑芝麻智能,2024-08-08,,True,False
2556.HK,02556,迈富时,2024-05-16,,True,False
2577.HK,02577,英诺赛科,2024-12-30,,True,False
2587.HK,02587,健康之路,2024-12-30,,True,False
2858.HK,02858,易鑫集团,2017-11-16,,True,False
3320.HK,03320,华润医药,2016-10-28,,True,False
3677.HK,03677,正力新能,2025-04-14,,True,False
3690.HK,03690,美团,2018-09-20,,True,False
3692.HK,03692,翰森制药,2019-06-14,,True,False
3738.HK,03738,阜博集团,2018-01-04,,True,False
3750.HK,03750,宁德时代,2025-05-20,,True,False
3888.HK,03888,金山软件,2007-10-09,,True,False
3896.HK,03896,金山云,2022-12-30,,True,False
3933.HK,03933,联邦制药,2007-06-15,,True,False
6060.HK,06060,众安在线,2017-09-28,,True,False
6069.HK,06069,盛业,2017-07-06,,True,False
6078.HK,06078,海吉亚医疗,2020-06-29,,True,False
6088.HK,06088,鸿腾精密,2017-07-13,,True,False
6160.HK,06160,百济神州,2018-08-08,,True,False
6618.HK,06618,京东健康,2020-12-08,,True,False
6682.HK,06682,第四范式,2023-09-28,,True,False
6699.HK,06699,时代天使,2021-06-16,,True,False
6855.HK,06855,亚盛医药,2019-10-28,,True,False
6990.HK,06990,科伦博泰生物,2023-07-11,,True,False
9606.HK,09606,映恩生物,2025-04-15,,True,False
9626.HK,09626,哔哩哔哩,2021-03-29,,True,False
9636.HK,09636,九方智投,2023-03-10,,True,False
9660.HK,09660,地平线机器人,2024-10-24,,True,False
9688.HK,09688,再鼎医药,2020-09-28,,True,False
9863.HK,09863,零跑汽车,2022-09-29,,True,False
9868.HK,09868,京东集团,2021-07-07,,True,False
9880.HK,09880,优必选,2023-12-29,,True,False
9899.HK,09899,网易云音乐,2021-12-02,,True,False
9926.HK,09926,康方生物,2020-04-24,,True,False
9969.HK,09969,诺诚健华,2020-03-23,,True,False
9988.HK,09988,阿里巴巴,2019-11-26,,True,False
