trade_date,wind_code,name,side,weight,entry_close
2026-05-18,1772.HK,赣锋锂业,LONG,0.05,73.613
2026-05-18,1888.HK,建滔积层板,LONG,0.05,42.92
2026-05-18,2162.HK,康诺亚-B,LONG,0.05,63.05
2026-05-18,6618.HK,京东健康,LONG,0.05,43.08
2026-05-18,9969.HK,诺诚健华,LONG,0.05,12.01
2026-05-18,2252.HK,微创机器人-B,LONG,0.05,25.12
2026-05-18,9606.HK,映恩生物-B,LONG,0.05,222.8
2026-05-18,6088.HK,鸿腾精密,LONG,0.05,9.08
2026-05-18,2269.HK,药明生物,LONG,0.05,32.94
2026-05-18,0981.HK,中芯国际,LONG,0.05,68.7
2026-05-18,2268.HK,药明合联,LONG,0.05,53.4
2026-05-18,1548.HK,金斯瑞生物科技,LONG,0.05,13.43
2026-05-18,1347.HK,华虹半导体,LONG,0.05,115.8
2026-05-18,1801.HK,信达生物,LONG,0.05,80.3
2026-05-18,2357.HK,中航科工,LONG,0.05,3.232
2026-05-18,2359.HK,药明康德,LONG,0.05,125.8
2026-05-18,2587.HK,健康之路,LONG,0.05,3.72
2026-05-18,2367.HK,巨子生物,LONG,0.05,28.14
2026-05-18,2382.HK,舜宇光学科技,LONG,0.05,63.5
2026-05-18,2400.HK,心动公司,LONG,0.05,54.4
2026-05-18,6699.HK,时代天使,SHORT,0.05,79.018
2026-05-18,0992.HK,联想集团,SHORT,0.05,12.63
2026-05-18,9688.HK,再鼎医药,SHORT,0.05,15.16
2026-05-18,1833.HK,平安好医生,SHORT,0.05,9.9
2026-05-18,1797.HK,东方甄选,SHORT,0.05,25.36
2026-05-18,1357.HK,美图公司,SHORT,0.05,4.51
2026-05-18,3320.HK,华润医药,SHORT,0.05,4.8
2026-05-18,1530.HK,三生制药,SHORT,0.05,19.41
2026-05-18,0552.HK,中国通信服务,SHORT,0.05,4.34
2026-05-18,9636.HK,九方智投控股,SHORT,0.05,32.28
2026-05-18,2096.HK,先声药业,SHORT,0.05,11.18
2026-05-18,9626.HK,哔哩哔哩-W,SHORT,0.05,150.6
2026-05-18,0700.HK,腾讯控股,SHORT,0.05,449.2
2026-05-18,0512.HK,远大医药,SHORT,0.05,5.78
2026-05-18,1810.HK,小米集团-W,SHORT,0.05,30.66
2026-05-18,9868.HK,小鹏集团-W,SHORT,0.05,60.65
2026-05-18,3933.HK,联邦制药,SHORT,0.05,9.05
2026-05-18,6682.HK,范式智能,SHORT,0.05,33.56
2026-05-18,9863.HK,零跑汽车,SHORT,0.05,41.68
2026-05-18,0460.HK,四环医药,SHORT,0.05,1.07
